Package            Version
------------------ -----------
bernhard           0.2.6
bottle             0.12.21
cassandra-driver   3.25.0
certifi            2022.5.18.1
charset-normalizer 2.0.12
chevron            0.14.0
click              8.1.3
colorama           0.4.4
commonmark         0.9.1
CouchDB            1.2
defusedxml         0.7.1
docker             4.2.2
elastic-transport  8.1.2
elasticsearch      8.2.2
future             0.18.2
geomet             0.2.1.post1
Glances            3.2.6.4
graphitesender     0.11.2
httpie             3.2.1
idna               3.3
ifaddr             0.1.7
influxdb           5.3.1
influxdb-client    1.29.1
kafka-python       2.0.2
msgpack            1.0.4
multidict          6.0.2
netifaces          0.11.0
packaging          21.3
paho-mqtt          1.6.1
pbkdf2             1.3
pika               1.2.1
pip                22.0.4
ply                3.11
potsdb             1.0.3
prometheus-client  0.14.1
protobuf           4.21.1
psutil             5.9.1
py3nvml            0.2.7
pyasn1             0.4.8
pycryptodomex      3.14.1
pygal              3.0.0
Pygments           2.12.0
pymdstat           0.4.2
pyparsing          3.0.9
pypiwin32          223
pysmi              0.3.4
pysnmp             4.4.12
PySocks            1.7.1
python-dateutil    2.8.2
pytz               2022.1
pywin32            304
pyzmq              23.1.0
requests           2.27.1
requests-toolbelt  0.9.1
rich               12.4.4
Rx                 3.2.0
scandir            1.10.0
setuptools         58.1.0
six                1.16.0
statsd             3.3.0
urllib3            1.26.9
websocket-client   1.3.2
wifi               0.3.8
xmltodict          0.13.0
zeroconf           0.38.6
